Código;Descripción;;Linea;Imp.;Desc.;Precio Vent.;Precio May.;Precio Cost.;Stock Min;Mon.
000000000000;ARROZ LUNA DE BELEN 5KG;UNIDADES;37;10;0;13.500;0;11.500;2;1
0000000000024;TABLETA CHOCOLATE CACAO PREMIUM;UNIDADES;26;10;0;12.500;0;8.000;2;1
000000000024;TABLETA CHOCOLATE CACAO PREMIUM;UNIDADES;26;10;0;12.500;0;8.000;2;1
0000000046572;ROPA P/BEBE;UNIDADES;14;10;0;30.000;0;18.415;2;1
0000000046756;ROPA P/BEBE;UNIDADES;14;10;0;30.000;0;18.415;2;1
0000000100111;YASY PIOLIN P/ROPA;UNIDADES;6;10;0;3.000;0;2.143;2;1
0000028093367;CH CREMA PARA MANOS Y CUERPO ALOE;UNIDADES;23;10;0;9.500;0;6.806;2;1
0000078030299;GALLETITAS TUAREG 48GR;UNIDADES;26;10;0;1.850;0;1.455;2;1
000008099389;BUDINERA NRO 28;UNIDADES;31;10;0;42.000;0;32.000;2;1
000008099433;TORTERA NRO 32;UNIDADES;31;10;0;41.000;0;32.000;2;1
000008100214;HIELERA NRO 1;UNIDADES;31;10;0;22.600;0;18.000;2;1
000008100498;OLLA C/ASAS NRO 22  MIA;UNIDADES;31;10;0;50.000;0;40.000;2;1
0000091024213;CH CREMA MANOS Y CUERPO ALMENDRAS;UNIDADES;23;10;0;9.500;0;6.806;2;1
0000091024220;CH CREMA MANOS Y CUERPO VITAMINA AYE;UNIDADES;23;10;0;9.500;0;6.806;2;1
00002127;JUGUETE;UNIDADES;18;10;0;13.000;0;8.000;2;1
00002196;JUGUETE;UNIDADES;18;10;0;8.000;0;4.800;2;1
000028216896;SANREMO POTE REDONDO;UNIDADES;31;10;0;5.500;0;4.000;2;1
0000312000002;PORTA LAPIZ;UNIDADES;20;10;0;11.500;0;8.200;2;1
00003643;JUGUETE ROMPECABEZAS BUTTERFLY;UNIDADES;18;10;0;16.000;0;8.000;2;1
00008181;JUGUETE MUÑECA;UNIDADES;23;10;0;23.000;0;16.520;2;1
00014113;JUGUETE;UNIDADES;18;10;0;15.000;0;10.000;2;1
00015158;JUEGO DE TE..............;UNIDADES;18;10;0;18.000;0;11.000;2;1
00018111;JUGUETE ESPADA;UNIDADES;18;10;0;16.500;0;12.000;2;1
00021326;JUGUETE;UNIDADES;8;10;0;12.000;0;8.000;2;1
00022217;JUGUETE GS. 20.000;UNIDADES;18;10;0;20.000;0;12.000;2;1
00025836;ABECEDARIO;UNIDADES;8;10;0;20.000;0;15.000;2;1
00026512;MAQUILLAJE MAKE UP;UNIDADES;18;10;0;8.500;0;5.400;2;1
000312000002;PORTA LAPIZ GRANDE;UNIDADES;20;10;0;15.500;0;8.300;2;1
000388000005;VELERO VIDRIO TIPO FLOR;UNIDADES;20;10;0;6.500;0;4.500;2;1
00050067;JUGUETE;UNIDADES;18;10;0;105.000;0;70.000;2;1
00055369;LUCES NAVIDEÑAS;UNIDADES;12;10;0;25.000;0;15.000;2;1
000673602051;JUEGO DE LOTERIA;UNIDADES;20;10;0;36.000;0;25.000;2;1
00070164;JARRA PLASTICA 2 LITROS CON TAPA;UNIDADES;31;10;0;9.500;0;6.817;2;1
00071772;MOLDE P/EMPANADA;UNIDADES;31;10;0;12.000;0;6.956;2;1
000717772;MOLDE PARA EMPANADAS CON PALITO;UNIDADES;31;10;0;11.000;0;8.378;2;1
00081634;JUGUETE;UNIDADES;18;10;0;16.500;0;6.000;2;1
00082518;JUGUETE;UNIDADES;18;10;0;18.500;0;12.000;2;1
000964692426;CABLE DE BATERIA 500A;UNIDADES;29;10;0;51.500;0;37.240;2;1
00096829;JUGUETE;UNIDADES;18;10;0;5.000;0;2.500;2;1
00098298;RASTRILLO;UNIDADES;31;10;0;12.000;0;7.900;2;1
000988265743;HUESO MASTICABLE PAQUTE X 63 UNID;UNIDADES;34;10;0;88.000;0;67.984;2;1
0009984;JUGUETE;UNIDADES;18;10;0;16.500;0;10.000;2;1
00100;TOMATE PERITA;PESABLE;2;5;0;11.450;9.600;8.750;0;1
00101;TOMATE LISA;PESABLE;2;5;1;16.500;0;14.000;2;1
00101752;JUEGO DIDACTICO MY WORLD;UNIDADES;18;10;0;80.000;0;58.800;2;1
00101776;JUEGO DIDACTICO MY WORLD;UNIDADES;18;10;0;200.000;0;157.800;2;1
00102;LOCOTE;PESABLE;2;5;0;12.950;0;9.913;2;1
00102766;COLADOR DE PASTAS;UNIDADES;31;10;0;5.500;0;3.745;2;1
00103;ZANAHORIA;PESABLE;2;5;0;9.400;0;7.222;2;1
00103299;PLATO PLASTICO PLAYO;UNIDADES;31;10;0;10.000;0;5.503;2;1
